"Index_logical","Index_offset",XBkTp,YBkTp,XBkBt,YBkBt
-1549,498,1225,-4100,-6225,-4100
-1548,499,1225,-4100,-6225,-4100
-1547,500,1225,-4100,-6225,-4100
-1546,501,1225,-4100,-6225,-4100
-1545,502,1225,-4100,-6225,-4100
-1544,503,1225,-4100,-6225,-4100
-1543,504,1225,-4100,-6225,-4100
-1542,505,1225,-4100,-6225,-4100
-1541,506,1225,-4100,-6225,-4100
-1540,507,1225,-4100,-6225,-4100
-1539,508,1225,-4100,-6225,-4100
-1538,509,1225,-4100,-6225,-4100
-1537,510,1225,-4100,-6225,-4100
-1536,511,1225,-4100,-6225,-4100
-1535,512,1225,-4100,-6225,-4100
-1534,513,1225,-4100,-6225,-4100
-1533,514,1225,-4100,-6225,-4100
-1532,515,1225,-4100,-6225,-4100
-1531,516,1225,-4100,-6225,-4100
-1530,517,1225,-4100,-6225,-4100
-1529,518,1225,-4100,-6225,-4100
-1528,519,1225,-4100,-6225,-4100
-1527,520,1225,-4100,-6225,-4100
-1526,521,1225,-4100,-6225,-4100
-1525,522,1225,-4100,-6225,-4100
-1524,523,1225,-4100,-6225,-4100
-1523,524,1225,-4100,-6225,-4100
-1522,525,1225,-4100,-6225,-4100
-1521,526,1225,-4100,-6225,-4100
-1520,527,1225,-4100,-6225,-4100
-1519,528,1225,-4100,-6225,-4100
-1518,529,1225,-4100,-6225,-4100
-1517,530,1225,-4100,-6225,-4100
-1516,531,1225,-4100,-6225,-4100
-1515,532,1225,-4100,-6225,-4100
-1514,533,1225,-4100,-6225,-4100
-1513,534,1225,-4100,-6225,-4100
-1512,535,1225,-4100,-6225,-4100
-1511,536,1225,-4100,-6225,-4100
-1510,537,1225,-4100,-6225,-4100
-1509,538,1225,-4100,-6225,-4100
-1508,539,1225,-4100,-6225,-4100
-1507,540,1225,-4100,-6225,-4100
-1506,541,1225,-4100,-6225,-4100
-1505,542,1225,-4100,-6225,-4100
-1504,543,1225,-4100,-6225,-4100
-1503,544,1225,-4100,-6225,-4100
-1502,545,1225,-4100,-6225,-4100
-1501,546,1225,-4100,-6225,-4100
-1500,547,1225,-4100,-6225,-4100
-1499,548,1225,-4100,-6225,-4100
-1498,549,1225,-4100,-6225,-4100
-1497,550,1225,-4100,-6225,-4100
-1496,551,1225,-4100,-6225,-4100
-1495,552,1225,-4100,-6225,-4100
-1494,553,1225,-4100,-6225,-4100
-1493,554,1225,-4100,-6225,-4100
-1492,555,1225,-4100,-6225,-4100
-1491,556,1225,-4100,-6225,-4100
-1490,557,1225,-4100,-6225,-4100
-1489,558,1225,-4100,-6225,-4100
-1488,559,1225,-4100,-6225,-4100
-1487,560,1225,-4100,-6225,-4100
-1486,561,1225,-4100,-6225,-4100
-1485,562,1225,-4100,-6225,-4100
-1484,563,1225,-4100,-6225,-4100
-1483,564,1225,-4100,-6225,-4100
-1482,565,1225,-4100,-6225,-4100
-1481,566,1225,-4100,-6225,-4100
-1480,567,1225,-4100,-6225,-4100
-1479,568,1225,-4100,-6225,-4100
-1478,569,1225,-4100,-6225,-4100
-1477,570,1225,-4100,-6225,-4100
-1476,571,1225,-4100,-6225,-4100
-1475,572,1225,-4100,-6225,-4100
-1474,573,1225,-4100,-6225,-4100
-1473,574,1225,-4100,-6225,-4100
-1472,575,1225,-4100,-6225,-4100
-1471,576,1225,-4100,-6225,-4100
-1470,577,1225,-4100,-6225,-4100
-1469,578,1225,-4100,-6225,-4100
-1468,579,1225,-4100,-6225,-4100
-1467,580,1225,-4100,-6225,-4100
-1466,581,1225,-4100,-6225,-4100
-1465,582,1225,-4100,-6225,-4100
-1464,583,1225,-4100,-6225,-4100
-1463,584,1225,-4100,-6225,-4100
-1462,585,1225,-4100,-6225,-4100
-1461,586,1225,-4100,-6225,-4100
-1460,587,1225,-4100,-6225,-4100
-1459,588,1225,-4100,-6225,-4100
-1458,589,1225,-4100,-6225,-4100
-1457,590,1225,-4100,-6225,-4100
-1456,591,1225,-4100,-6225,-4100
-1455,592,1225,-4100,-6225,-4100
-1454,593,1225,-4100,-6225,-4100
-1453,594,1225,-4100,-6225,-4100
-1452,595,1225,-4100,-6225,-4100
-1451,596,1225,-4100,-6225,-4100
-1450,597,1225,-4100,-6225,-4100
-1449,598,1225,-4100,-6225,-4100
-1448,599,1225,-4100,-6225,-4100
-1447,600,1225,-4100,-6225,-4100
-1446,601,1225,-4100,-6225,-4100
-1445,602,1225,-4100,-6225,-4100
-1444,603,1225,-4100,-6225,-4100
-1443,604,1225,-4100,-6225,-4100
-1442,605,1225,-4100,-6225,-4100
-1441,606,1225,-4100,-6225,-4100
-1440,607,1225,-4100,-6225,-4100
-1439,608,1225,-4100,-6225,-4100
-1438,609,1225,-4100,-6225,-4100
