Energy,phi_degrees,theta_degrees,phi_motor_degrees,theta_motor_degrees,phi_fwhm,theta_fwhm
4.000000000000000000e+01,3.193730876751880166e-01,-2.730787358122362107e+01,0.000000000000000000e+00,2.800000000000000000e+01,3.156568346275373305e+00,4.143667337285928731e+00
4.000000000000000000e+01,3.593575414438029969e-01,-3.533519414201587949e+01,0.000000000000000000e+00,3.600000000000000000e+01,3.413640379605896946e+00,4.194763635168893501e+00
4.000000000000000000e+01,2.135409710407243089e-01,-4.347334437261775975e+01,0.000000000000000000e+00,4.400000000000000000e+01,3.036547428038239183e+00,3.788079724900381695e+00
4.000000000000000000e+01,1.022913821285049529e+01,4.388103998203085609e+01,1.000000000000000000e+01,-4.400000000000000000e+01,3.567606079651494344e+00,3.413114843817015576e+00
4.000000000000000000e+01,1.058559095049887766e+01,3.635849513801424848e+01,1.000000000000000000e+01,-3.600000000000000000e+01,3.799656180630836211e+00,3.708953756730916318e+00
4.000000000000000000e+01,1.045092049799302458e+01,2.853658318928149029e+01,1.000000000000000000e+01,-2.800000000000000000e+01,3.304338890231596881e+00,3.870784691552188850e+00
4.000000000000000000e+01,1.034505373747454193e+01,2.088884475234483062e+01,1.000000000000000000e+01,-2.000000000000000000e+01,2.755723915973740556e+00,4.004977483351968459e+00
4.000000000000000000e+01,1.032090600463198626e+01,1.296782566175666673e+01,1.000000000000000000e+01,-1.200000000000000000e+01,2.529857175851220052e+00,4.247911611323461401e+00
4.000000000000000000e+01,1.028043264410766966e+01,9.878329526291171447e+00,1.000000000000000000e+01,-9.000000000000000000e+00,2.539767044775734117e+00,4.374954740964401623e+00
4.000000000000000000e+01,1.042188258284526192e+01,6.870215471027986354e+00,1.000000000000000000e+01,-6.000000000000000000e+00,2.728364689102730445e+00,4.361814433025646309e+00
4.000000000000000000e+01,1.041883601776068602e+01,8.844906812722558298e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.775769440277553457e+00,4.399846018752353594e+00
4.000000000000000000e+01,1.041068801905209362e+01,-5.362516843505122921e+00,1.000000000000000000e+01,6.000000000000000000e+00,2.973159817158699703e+00,4.538659478232665023e+00
4.000000000000000000e+01,1.034827730986973471e+01,-8.387653411901743183e+00,1.000000000000000000e+01,9.000000000000000000e+00,2.716963596634987876e+00,4.267590400390598226e+00
4.000000000000000000e+01,1.017143378410175814e+01,-1.145826645618088868e+01,1.000000000000000000e+01,1.200000000000000000e+01,2.518042801544795317e+00,4.184813716433457564e+00
4.000000000000000000e+01,1.012792323505100889e+01,-1.950122111590577845e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.741421677737355012e+00,4.262096556614498155e+00
4.000000000000000000e+01,1.001906220578115381e+01,-2.757641853987809810e+01,1.000000000000000000e+01,2.800000000000000000e+01,2.979387375175514219e+00,3.884912480021964321e+00
4.000000000000000000e+01,1.005552616083778261e+01,-3.567462744121257856e+01,1.000000000000000000e+01,3.600000000000000000e+01,3.859508882405324748e+00,3.991683720429959337e+00
